Keyword	RepoPath	FilePath	RepoName	CommitID	JavaCount	XmlCount
.getBean(	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring\src\main\java\ch\ralscha\extdirectspring\bean\ExtDirectResponseBuilder.java	extdirectspring	1516e4208f83228bc15c2dd0d76846f8cf847326	282	38
</bean>	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring\src\test\resources\testExceptionHandlingConfig.xml	extdirectspring	1516e4208f83228bc15c2dd0d76846f8cf847326	282	38
<property	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring\src\test\resources\testExceptionHandlingConfig.xml	extdirectspring	1516e4208f83228bc15c2dd0d76846f8cf847326	282	38
ClassPathXmlApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\extdirectspring\src\test\java\ch\ralscha\extdirectspring\util\MethodInfoCacheTest.java	extdirectspring	1516e4208f83228bc15c2dd0d76846f8cf847326	282	38
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\gallery-georg	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\gallery-georg\src\main\java\org\georg\web\config\MvcWebApplicationInitializer.java	gallery-georg	30966022d462ad22497f7acc97ae669f48188343	72	2
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example\hibernate-search-hibernate\src\main\java\org\hibernate\search\hibernate\example\SearchManager.java	hibernate-search-example	bd56d9b402ab6dde62eff8438aaed53836350784	15	31
.getBean(	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example\hibernate-search-hibernate\src\main\java\org\hibernate\search\hibernate\example\SearchManager.java	hibernate-search-example	bd56d9b402ab6dde62eff8438aaed53836350784	15	31
</bean>	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example\hibernate-search-hibernate\src\main\resources\applicationContext.xml	hibernate-search-example	bd56d9b402ab6dde62eff8438aaed53836350784	15	31
<property	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example\hibernate-search-hibernate\src\main\resources\applicationContext.xml	hibernate-search-example	bd56d9b402ab6dde62eff8438aaed53836350784	15	31
-method=	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example\hibernate-search-hibernate\src\main\resources\applicationContext.xml	hibernate-search-example	bd56d9b402ab6dde62eff8438aaed53836350784	15	31
ClassPathXmlApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\hibernate-search-example\hibernate-search-hibernate\src\main\java\org\hibernate\search\hibernate\example\SearchManager.java	hibernate-search-example	bd56d9b402ab6dde62eff8438aaed53836350784	15	31
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww\src\main\java\com\jiazu\web\base\proxy\BasePX.java	jiazuww	d88e758d41af629cb9e5da8793e09e7ace7fa997	317	159
.getBean(	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww\src\main\java\com\jiazu\web\platform\proxy\CommentPX.java	jiazuww	d88e758d41af629cb9e5da8793e09e7ace7fa997	317	159
</bean>	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww\src\main\resources\conf\AppDict.xml	jiazuww	d88e758d41af629cb9e5da8793e09e7ace7fa997	317	159
<property	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww\src\main\resources\conf\AppDict.xml	jiazuww	d88e758d41af629cb9e5da8793e09e7ace7fa997	317	159
-method=	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jiazuww\src\main\resources\conf\dataSource.xml	jiazuww	d88e758d41af629cb9e5da8793e09e7ace7fa997	317	159
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-petclinic	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\service\AbstractClinicServiceTests.java	spring-petclinic	46201191e8098889a58a8e035e1c9bc2352071eb	51	20
</bean>	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-petclinic	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-petclinic\src\main\resources\spring\business-config.xml	spring-petclinic	46201191e8098889a58a8e035e1c9bc2352071eb	51	20
constructor-arg	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-petclinic	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-petclinic\src\main\resources\spring\business-config.xml	spring-petclinic	46201191e8098889a58a8e035e1c9bc2352071eb	51	20
-method=	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-petclinic	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-petclinic\src\main\resources\spring\datasource-config.xml	spring-petclinic	46201191e8098889a58a8e035e1c9bc2352071eb	51	20
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ironman	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ironman\src\test\java\com\ironman\controller\HealthMonitorControllerTest.java	ironman	1f837f4d2be0586b9ab900f93a62c39921212d3e	8	6
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\java-embedded-jirb	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\java-embedded-jirb\src\main\java\com\vetstreet\embedded\jirb\SshServerFactory.java	java-embedded-jirb	8a9f80165ac21670364db5931c6c32368c28ae76	11	1
.getBean(	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\java-embedded-jirb	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\java-embedded-jirb\src\main\java\com\vetstreet\embedded\jirb\SshServerFactory.java	java-embedded-jirb	8a9f80165ac21670364db5931c6c32368c28ae76	11	1
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\addis-core	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\addis-core\src\main\java\org\drugis\addis\config\SecurityConfig.java	addis-core	706d636eff27fa30c4d5b45a3df30d545a936712	511	8
ApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\appfuse	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\appfuse\plugins\appfuse-maven-plugin\src\main\java\org\appfuse\tool\ArtifactInstaller.java	appfuse	2825ab8f3a978b3bafb60effbf7c1094beef3fac	328	250
.getBean(	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\appfuse	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\appfuse\data\jpa\src\main\java\org\appfuse\dao\BaseDaoTestCase.java	appfuse	2825ab8f3a978b3bafb60effbf7c1094beef3fac	328	250
constructor-arg	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\appfuse	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\appfuse\data\ibatis\src\main\resources\applicationContext-dao.xml	appfuse	2825ab8f3a978b3bafb60effbf7c1094beef3fac	328	250
-method=	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\appfuse	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\appfuse\archetypes\appfuse-ws\src\src\main\resources\applicationContext-resources.xml	appfuse	2825ab8f3a978b3bafb60effbf7c1094beef3fac	328	250
ClassPathXmlApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\appfuse	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\appfuse\service\src\test\java\org\appfuse\service\impl\UserSecurityAdviceTest.java	appfuse	2825ab8f3a978b3bafb60effbf7c1094beef3fac	328	250
.getBean(	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ikube	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ikube\code\core\src\main\java\ikube\toolkit\ApplicationContextManager.java	ikube	5b255116604284ec6349e10468e4ca5e634db3e9	1243	170
constructor-arg	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ikube	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ikube\code\libs\src\main\resources\analytics\spring-analytics.xml	ikube	5b255116604284ec6349e10468e4ca5e634db3e9	1243	170
-method=	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ikube	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ikube\code\core\src\test\resources\spring\spring-geo-prod.xml	ikube	5b255116604284ec6349e10468e4ca5e634db3e9	1243	170
ClassPathXmlApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ikube	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ikube\code\core\src\main\java\ikube\toolkit\ApplicationContextManager.java	ikube	5b255116604284ec6349e10468e4ca5e634db3e9	1243	170
.getBean(	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\DevStarter	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\DevStarter\src\main\java\isep\rose\devstarter\web\UserController.java	DevStarter	889d8a7e6109dac2e372c4208d2630988e629edf	18	24
